ts_sec,rel_ms,current_mA
1757368260.432086,0.177,0.100
1757368260.434149,2.240,0.100
1757368260.436207,4.298,0.100
1757368260.438265,6.356,0.100
1757368260.440323,8.415,0.100
1757368260.442380,10.472,0.100
1757368260.444437,12.528,0.100
1757368260.446495,14.586,0.100
1757368260.448552,16.643,0.100
1757368260.450610,18.701,0.100
1757368260.452669,20.760,0.100
1757368260.454727,22.818,0.100
1757368260.456793,24.884,0.100
1757368260.458852,26.943,0.100
1757368260.460910,29.001,0.100
1757368260.462968,31.059,0.100
1757368260.465025,33.117,0.100
1757368260.467083,35.174,0.100
1757368260.469142,37.233,0.100
1757368260.471200,39.291,0.100
1757368260.473259,41.350,0.100
1757368260.475317,43.408,0.100
1757368260.477376,45.467,0.100
1757368260.479435,47.526,0.100
1757368260.481495,49.587,0.100
1757368260.483557,51.648,0.100
1757368260.485616,53.708,0.100
1757368260.487678,55.769,0.100
1757368260.489744,57.836,0.100
1757368260.491835,59.926,0.100
1757368260.493918,62.010,0.100
1757368260.495982,64.073,0.100
1757368260.498065,66.156,0.100
1757368260.500129,68.220,0.100
1757368260.502192,70.284,0.100
1757368260.504255,72.346,0.100
1757368260.506319,74.410,0.100
1757368260.508388,76.479,0.100
1757368260.510453,78.544,0.100
1757368260.512517,80.609,0.100
1757368260.514592,82.684,0.100
1757368260.516660,84.751,0.100
1757368260.518726,86.817,0.100
1757368260.520793,88.884,0.100
1757368260.522865,90.956,0.100
1757368260.524930,93.022,0.100
1757368260.527006,95.097,0.100
1757368260.529075,97.166,0.100
1757368260.531144,99.236,0.100
1757368260.533214,101.305,0.100
1757368260.535284,103.375,0.100
1757368260.537353,105.444,0.100
1757368260.539423,107.514,0.100
1757368260.541495,109.586,0.100
1757368260.543565,111.656,0.100
1757368260.545636,113.727,0.100
1757368260.547705,115.796,0.100
1757368260.549776,117.867,0.100
1757368260.551845,119.936,0.100
1757368260.553915,122.006,0.100
1757368260.555984,124.075,0.100
1757368260.558053,126.145,0.100
1757368260.560123,128.214,0.100
1757368260.562192,130.283,0.100
1757368260.564260,132.351,0.100
1757368260.566328,134.419,0.100
1757368260.568398,136.489,0.100
1757368260.570468,138.559,0.100
1757368260.572542,140.633,0.100
1757368260.574611,142.703,0.100
1757368260.576683,144.774,0.100
1757368260.578752,146.843,0.100
1757368260.580822,148.913,0.100
1757368260.582891,150.983,0.100
1757368260.584965,153.057,0.100
1757368260.587047,155.138,0.100
1757368260.589120,157.211,0.100
1757368260.591191,159.282,0.100
1757368260.593264,161.355,0.100
1757368260.595335,163.426,0.100
1757368260.597406,165.497,0.100
1757368260.599475,167.567,0.100
1757368260.601546,169.637,0.100
1757368260.603616,171.707,0.100
1757368260.605685,173.776,0.100
1757368260.607755,175.846,0.100
1757368260.609824,177.916,0.100
1757368260.611893,179.985,0.100
1757368260.613963,182.055,0.100
1757368260.616021,184.112,0.100
1757368260.618091,186.182,0.100
1757368260.620157,188.248,0.100
1757368260.622226,190.317,0.100
1757368260.624293,192.384,0.100
1757368260.626361,194.453,0.100
1757368260.628484,196.575,0.100
1757368260.630555,198.646,0.100
1757368260.632624,200.715,0.100
1757368260.634693,202.785,0.100
1757368260.636762,204.853,0.100
1757368260.638832,206.923,0.100
1757368260.640900,208.991,0.100
1757368260.642969,211.060,0.100
1757368260.645039,213.130,0.100
1757368260.647108,215.199,0.100
1757368260.649178,217.269,0.100
1757368260.651246,219.337,0.080
1757368260.653317,221.408,0.080
1757368260.655387,223.478,0.080
1757368260.657456,225.548,0.080
1757368260.659526,227.617,0.080
1757368260.661596,229.687,0.080
1757368260.663665,231.756,0.080
1757368260.665734,233.825,0.080
1757368260.667804,235.896,0.080
1757368260.669874,237.966,0.080
1757368260.671944,240.035,0.080
1757368260.674013,242.104,0.080
1757368260.676079,244.170,0.080
1757368260.678148,246.239,0.080
1757368260.680217,248.308,0.080
1757368260.682286,250.377,0.080
1757368260.684352,252.443,0.080
1757368260.686422,254.514,0.080
1757368260.688490,256.582,0.080
1757368260.690560,258.651,0.080
1757368260.692627,260.718,0.080
1757368260.694696,262.787,0.080
1757368260.696766,264.857,0.080
1757368260.698835,266.926,0.080
1757368260.700902,268.993,0.080
1757368260.702972,271.063,0.080
1757368260.705041,273.132,0.080
1757368260.707110,275.201,0.080
1757368260.709179,277.271,0.080
1757368260.711249,279.340,0.080
1757368260.713318,281.409,0.080
1757368260.715386,283.477,0.080
1757368260.717456,285.547,0.080
1757368260.719525,287.616,0.080
1757368260.721593,289.684,0.080
1757368260.723662,291.754,0.080
1757368260.725732,293.823,0.080
1757368260.727800,295.892,0.080
1757368260.729869,297.960,0.080
1757368260.731938,300.030,0.080
1757368260.734008,302.099,0.080
1757368260.736075,304.166,0.080
1757368260.738144,306.236,0.080
1757368260.740212,308.303,0.080
1757368260.742281,310.372,0.080
1757368260.744349,312.440,0.080
1757368260.746418,314.509,0.080
1757368260.748486,316.577,0.080
1757368260.750555,318.646,0.080
1757368260.752621,320.713,0.080
1757368260.754691,322.782,0.080
1757368260.756759,324.850,0.080
1757368260.758828,326.919,0.080
1757368260.760896,328.987,0.080
1757368260.762965,331.056,0.080
1757368260.765035,333.126,0.080
1757368260.767103,335.194,0.080
1757368260.769172,337.263,0.080
1757368260.771242,339.333,0.080
1757368260.773310,341.401,0.080
1757368260.775379,343.471,0.080
1757368260.777448,345.540,0.080
1757368260.779518,347.609,0.080
1757368260.781587,349.678,0.080
1757368260.783656,351.747,0.080
1757368260.785725,353.817,0.080
1757368260.787794,355.885,0.080
1757368260.789863,357.954,0.080
1757368260.791932,360.023,0.080
1757368260.794000,362.092,0.080
1757368260.796066,364.157,0.080
1757368260.798136,366.227,0.080
1757368260.800204,368.295,0.080
1757368260.802273,370.364,0.080
1757368260.804339,372.430,0.080
1757368260.806409,374.500,0.080
1757368260.808477,376.568,0.080
1757368260.810546,378.637,0.080
1757368260.812614,380.705,0.080
1757368260.814683,382.774,0.080
1757368260.816750,384.841,0.080
1757368260.818819,386.910,0.080
1757368260.820887,388.978,0.080
1757368260.822955,391.047,0.080
1757368260.825024,393.115,0.080
1757368260.827093,395.185,0.080
1757368260.829161,397.253,0.080
1757368260.831230,399.322,0.080
1757368260.833306,401.397,0.080
1757368260.835377,403.468,0.080
1757368260.837447,405.538,0.080
1757368260.839516,407.607,0.080
1757368260.841585,409.677,0.080
1757368260.843655,411.746,0.080
1757368260.845724,413.815,0.080
1757368260.847793,415.884,0.080
1757368260.849862,417.953,0.080
1757368260.851933,420.024,0.080
1757368260.854002,422.093,0.080
1757368260.856069,424.160,0.080
1757368260.858138,426.229,0.080
1757368260.860206,428.297,0.080
1757368260.862274,430.366,0.080
1757368260.864342,432.434,0.080
1757368260.866411,434.502,0.080
1757368260.868479,436.570,0.080
1757368260.870548,438.639,0.080
1757368260.872616,440.707,0.080
1757368260.874686,442.777,0.080
1757368260.876757,444.848,0.080
1757368260.878827,446.918,0.080
1757368260.880900,448.991,0.080
1757368260.882970,451.061,0.080
1757368260.885038,453.129,0.080
1757368260.887123,455.215,0.080
1757368260.889202,457.293,0.080
1757368260.891272,459.363,0.080
1757368260.893365,461.456,0.080
1757368260.895436,463.527,0.080
1757368260.897505,465.596,0.080
1757368260.899574,467.665,0.080
1757368260.901643,469.734,0.080
1757368260.903713,471.804,0.080
1757368260.905782,473.873,0.080
1757368260.907851,475.942,0.080
1757368260.909920,478.012,0.080
1757368260.911989,480.081,0.080
1757368260.914058,482.150,0.080
1757368260.916125,484.216,0.080
1757368260.918195,486.286,0.080
1757368260.920262,488.353,0.080
1757368260.922331,490.422,0.080
1757368260.924397,492.488,0.080
1757368260.926465,494.556,0.080
1757368260.928534,496.625,0.080
1757368260.930603,498.694,0.080
1757368260.932671,500.762,0.080
1757368260.934740,502.831,0.080
1757368260.936809,504.900,0.080
1757368260.938879,506.970,0.080
1757368260.940948,509.039,0.080
1757368260.943022,511.113,0.080
1757368260.945091,513.183,0.080
1757368260.947162,515.253,0.080
1757368260.949236,517.327,0.080
1757368260.951307,519.398,0.080
1757368260.953380,521.472,0.080
1757368260.955451,523.542,0.080
1757368260.957521,525.612,0.080
1757368260.959591,527.682,0.080
1757368260.961660,529.752,0.080
1757368260.963729,531.821,0.080
1757368260.965800,533.891,0.080
1757368260.967870,535.961,0.080
1757368260.969939,538.031,0.080
1757368260.972034,540.125,0.080
1757368260.974103,542.194,0.080
1757368260.976171,544.262,0.080
1757368260.978241,546.332,0.080
1757368260.980308,548.399,0.080
1757368260.982404,550.495,0.080
1757368260.984476,552.567,0.080
1757368260.986548,554.639,0.080
1757368260.988614,556.705,0.080
1757368260.990685,558.776,0.080
1757368260.992754,560.845,0.080
1757368260.994824,562.915,0.080
1757368260.996891,564.982,0.080
1757368260.998962,567.053,0.080
1757368261.001030,569.121,0.080
1757368261.003100,571.191,0.080
1757368261.005168,573.259,0.080
1757368261.007239,575.330,0.080
1757368261.009307,577.398,0.080
1757368261.011376,579.467,0.080
1757368261.013450,581.541,0.080
1757368261.015520,583.611,0.080
1757368261.017592,585.683,0.080
1757368261.019660,587.751,0.080
1757368261.021730,589.822,0.080
1757368261.023799,591.890,0.080
1757368261.025869,593.960,0.080
1757368261.027939,596.030,0.080
1757368261.030009,598.100,0.080
1757368261.032076,600.167,0.080
1757368261.034145,602.237,0.080
1757368261.036214,604.306,0.080
1757368261.038284,606.375,0.080
1757368261.040353,608.444,0.080
1757368261.042422,610.513,0.080
1757368261.044491,612.582,0.080
1757368261.046560,614.651,0.080
1757368261.048628,616.719,0.080
1757368261.050697,618.788,0.080
1757368261.052766,620.857,0.080
1757368261.054835,622.926,0.080
1757368261.056903,624.994,0.080
1757368261.058973,627.064,0.080
1757368261.061041,629.133,0.080
1757368261.063110,631.201,0.080
1757368261.065180,633.271,0.080
1757368261.067249,635.340,0.080
1757368261.069319,637.410,0.080
1757368261.071389,639.480,0.080
1757368261.073458,641.549,0.080
1757368261.075528,643.619,0.080
1757368261.077599,645.690,0.080
1757368261.079668,647.759,0.080
1757368261.081738,649.830,0.080
1757368261.083807,651.898,0.080
1757368261.085877,653.968,0.080
1757368261.087946,656.037,0.080
1757368261.090015,658.107,0.080
1757368261.092084,660.175,0.080
1757368261.094154,662.245,0.080
1757368261.096221,664.312,0.080
1757368261.098291,666.382,0.080
1757368261.100359,668.450,0.080
1757368261.102428,670.519,0.080
1757368261.104498,672.589,0.080
1757368261.106568,674.659,0.080
1757368261.108637,676.728,0.080
1757368261.110707,678.798,0.080
1757368261.112776,680.867,0.080
1757368261.114846,682.937,0.080
1757368261.116916,685.007,0.080
1757368261.118986,687.077,0.080
1757368261.121056,689.147,0.080
1757368261.123125,691.216,0.080
1757368261.125195,693.286,0.080
1757368261.127265,695.356,0.080
1757368261.129335,697.426,0.080
1757368261.131404,699.496,0.080
1757368261.133478,701.569,0.080
1757368261.135546,703.638,0.080
1757368261.137636,705.727,0.080
1757368261.139703,707.794,0.080
1757368261.141768,709.859,0.080
1757368261.143846,711.937,0.080
1757368261.145911,714.002,0.080
1757368261.147970,716.061,0.080
1757368261.150029,718.120,0.080
1757368261.152087,720.178,0.080
1757368261.154145,722.236,0.080
1757368261.156204,724.295,0.080
1757368261.158264,726.355,0.080
1757368261.160321,728.412,0.080
1757368261.162380,730.471,0.080
1757368261.164438,732.530,0.080
1757368261.166504,734.595,0.080
1757368261.168741,736.833,0.080
1757368261.170803,738.894,0.080
1757368261.172860,740.951,0.080
1757368261.174919,743.010,0.080
1757368261.176986,745.077,0.080
1757368261.179056,747.148,0.080
1757368261.181128,749.219,0.080
1757368261.183191,751.282,0.080
1757368261.185249,753.340,0.080
1757368261.187307,755.398,0.080
1757368261.189364,757.455,0.080
1757368261.191424,759.515,0.080
1757368261.193483,761.574,0.080
1757368261.195543,763.634,0.080
1757368261.197601,765.692,0.080
1757368261.199661,767.752,0.080
1757368261.201722,769.813,0.080
1757368261.203783,771.874,0.080
1757368261.205844,773.935,0.080
1757368261.207906,775.997,0.080
1757368261.209965,778.057,0.080
1757368261.212012,780.103,0.080
1757368261.214076,782.167,0.080
1757368261.216140,784.231,0.080
1757368261.218206,786.297,0.080
1757368261.220271,788.363,0.080
1757368261.222337,790.428,0.080
1757368261.224402,792.493,0.080
1757368261.226470,794.561,0.080
1757368261.228536,796.628,0.080
1757368261.230604,798.695,0.100
1757368261.232669,800.760,0.100
1757368261.234737,802.828,0.100
1757368261.236805,804.896,0.100
1757368261.238874,806.966,0.100
1757368261.240942,809.033,0.080
1757368261.243011,811.102,0.080
1757368261.245080,813.171,0.080
1757368261.247148,815.239,0.080
1757368261.249218,817.309,0.080
1757368261.251287,819.378,0.080
1757368261.253397,821.488,0.080
1757368261.255467,823.558,0.080
1757368261.257537,825.629,0.080
1757368261.259607,827.698,0.080
1757368261.261676,829.767,0.080
1757368261.263745,831.836,0.080
1757368261.265815,833.906,0.080
1757368261.267884,835.975,0.080
1757368261.269952,838.043,0.080
1757368261.272021,840.112,0.080
1757368261.274090,842.181,0.080
1757368261.276159,844.250,0.080
1757368261.278228,846.319,0.080
1757368261.280295,848.387,0.080
1757368261.282365,850.456,0.080
1757368261.284433,852.524,0.080
1757368261.286503,854.594,0.080
