ts_sec,rel_ms,current_mA
1757368470.330243,1.177,0.140
1757368470.332343,3.277,0.140
1757368470.334427,5.360,0.140
1757368470.336513,7.447,0.140
1757368470.338600,9.533,0.140
1757368470.340682,11.616,0.160
1757368470.342772,13.705,0.160
1757368470.344856,15.789,0.160
1757368470.346943,17.876,0.160
1757368470.349027,19.961,0.160
1757368470.351118,22.051,0.160
1757368470.353211,24.144,0.160
1757368470.355315,26.248,0.180
1757368470.357400,28.334,0.180
1757368470.359481,30.414,0.180
1757368470.361560,32.493,0.180
1757368470.363633,34.567,0.180
1757368470.365694,36.627,0.180
1757368470.367751,38.685,0.180
1757368470.369809,40.742,0.180
1757368470.371866,42.799,0.180
1757368470.373923,44.857,0.180
1757368470.375980,46.914,0.180
1757368470.378037,48.971,0.180
1757368470.380094,51.027,0.180
1757368470.382151,53.084,0.180
1757368470.384208,55.141,0.200
1757368470.386265,57.198,0.200
1757368470.388322,59.256,0.200
1757368470.390379,61.313,0.200
1757368470.392437,63.370,0.200
1757368470.394494,65.428,0.200
1757368470.396551,67.485,0.200
1757368470.398607,69.541,0.200
1757368470.400664,71.598,0.200
1757368470.402722,73.655,0.200
1757368470.404782,75.715,0.200
1757368470.406841,77.775,0.200
1757368470.408899,79.833,0.200
1757368470.410957,81.891,0.200
1757368470.413016,83.949,0.200
1757368470.415074,86.008,0.200
1757368470.417134,88.067,0.200
1757368470.419193,90.127,0.200
1757368470.421252,92.185,0.200
1757368470.423312,94.245,0.180
1757368470.425372,96.305,0.180
1757368470.427433,98.366,0.180
1757368470.429494,100.428,0.180
1757368470.431556,102.490,0.180
1757368470.433618,104.551,0.180
1757368470.435681,106.615,0.180
1757368470.437750,108.684,0.180
1757368470.439814,110.748,0.180
1757368470.441878,112.811,0.180
1757368470.443943,114.877,0.180
1757368470.446008,116.941,0.180
1757368470.448073,119.007,0.180
1757368470.450139,121.073,0.180
1757368470.452205,123.138,0.180
1757368470.454271,125.205,0.180
1757368470.456337,127.270,0.180
1757368470.458417,129.350,0.180
1757368470.460488,131.422,0.180
1757368470.462569,133.502,0.180
1757368470.464647,135.581,0.180
1757368470.466718,137.652,0.180
1757368470.468787,139.721,0.180
1757368470.470856,141.789,0.180
1757368470.472926,143.859,0.180
1757368470.474995,145.928,0.180
1757368470.477063,147.997,0.180
1757368470.479133,150.066,0.180
1757368470.481201,152.134,0.180
1757368470.483270,154.203,0.180
1757368470.485338,156.271,0.180
1757368470.487408,158.341,0.180
1757368470.489477,160.411,0.180
1757368470.491547,162.480,0.180
1757368470.493616,164.549,0.180
1757368470.495684,166.618,0.180
1757368470.497753,168.687,0.180
1757368470.499822,170.756,0.180
1757368470.501892,172.826,0.180
1757368470.503961,174.895,0.180
1757368470.506030,176.963,0.180
1757368470.508096,179.030,0.180
1757368470.510165,181.099,0.180
1757368470.512234,183.167,0.180
1757368470.514303,185.236,0.160
1757368470.516369,187.303,0.160
1757368470.518439,189.373,0.160
1757368470.520509,191.442,0.160
1757368470.522578,193.512,0.160
1757368470.524647,195.580,0.160
1757368470.526717,197.651,0.160
1757368470.528786,199.720,0.160
1757368470.530855,201.789,0.160
1757368470.532923,203.857,0.160
1757368470.534992,205.926,0.160
1757368470.537061,207.995,0.160
1757368470.539130,210.064,0.160
1757368470.541198,212.132,0.160
1757368470.543267,214.200,0.160
1757368470.545335,216.268,0.160
1757368470.547404,218.338,0.160
1757368470.549474,220.407,0.160
1757368470.551543,222.476,0.160
1757368470.553613,224.546,0.160
1757368470.555682,226.616,0.160
1757368470.557752,228.686,0.160
1757368470.559818,230.751,0.160
1757368470.561885,232.818,0.160
1757368470.563959,234.893,0.160
1757368470.566029,236.962,0.160
1757368470.568097,239.030,0.160
1757368470.570168,241.101,0.160
1757368470.572238,243.171,0.160
1757368470.574308,245.241,0.160
1757368470.576375,247.308,0.160
1757368470.578445,249.378,0.160
1757368470.580513,251.447,0.160
1757368470.582583,253.516,0.160
1757368470.584650,255.584,0.160
1757368470.586720,257.653,0.160
1757368470.588788,259.722,0.160
1757368470.590857,261.791,0.160
1757368470.592927,263.860,0.160
1757368470.594998,265.932,0.160
1757368470.597065,267.998,0.160
1757368470.599135,270.069,0.160
1757368470.601204,272.138,0.140
1757368470.603273,274.207,0.140
1757368470.605342,276.275,0.140
1757368470.607411,278.345,0.140
1757368470.609482,280.415,0.140
1757368470.611552,282.485,0.140
1757368470.613621,284.554,0.140
1757368470.615691,286.624,0.140
1757368470.617759,288.692,0.140
1757368470.619828,290.762,0.140
1757368470.621897,292.830,0.140
1757368470.623966,294.900,0.140
1757368470.626035,296.969,0.140
1757368470.628103,299.036,0.140
1757368470.630172,301.105,0.140
1757368470.632239,303.172,0.140
1757368470.634308,305.242,0.140
1757368470.636376,307.310,0.140
1757368470.638446,309.379,0.140
1757368470.640515,311.449,0.140
1757368470.642586,313.519,0.140
1757368470.644654,315.587,0.140
1757368470.646722,317.656,0.140
1757368470.648790,319.723,0.140
1757368470.650858,321.792,0.140
1757368470.652925,323.859,0.140
1757368470.654994,325.928,0.140
1757368470.657063,327.997,0.140
1757368470.659133,330.067,0.140
1757368470.661201,332.135,0.140
1757368470.663271,334.204,0.140
1757368470.665338,336.272,0.140
1757368470.667408,338.341,0.140
1757368470.669478,340.411,0.140
1757368470.671548,342.481,0.140
1757368470.673617,344.550,0.140
1757368470.675686,346.620,0.140
1757368470.677756,348.689,0.140
1757368470.679827,350.761,0.140
1757368470.681896,352.830,0.140
1757368470.683966,354.899,0.140
1757368470.686035,356.969,0.140
1757368470.688102,359.036,0.140
1757368470.690171,361.105,0.140
1757368470.692239,363.173,0.140
1757368470.694308,365.242,0.140
1757368470.696376,367.309,0.140
1757368470.698444,369.378,0.140
1757368470.700512,371.446,0.140
1757368470.702581,373.514,0.140
1757368470.704648,375.581,0.140
1757368470.706717,377.650,0.140
1757368470.708785,379.719,0.140
1757368470.710855,381.788,0.140
1757368470.712924,383.857,0.140
1757368470.714995,385.928,0.140
1757368470.717066,388.000,0.140
1757368470.719135,390.069,0.140
1757368470.721205,392.139,0.140
1757368470.723274,394.208,0.140
1757368470.725343,396.277,0.140
1757368470.727413,398.347,0.140
1757368470.729482,400.416,0.140
1757368470.731552,402.485,0.120
1757368470.733621,404.554,0.120
1757368470.735691,406.624,0.120
1757368470.737760,408.693,0.120
1757368470.739831,410.764,0.120
1757368470.741900,412.834,0.120
1757368470.743970,414.904,0.120
1757368470.746039,416.973,0.120
1757368470.748107,419.040,0.120
1757368470.750176,421.110,0.120
1757368470.752246,423.179,0.120
1757368470.754315,425.249,0.120
1757368470.756382,427.315,0.120
1757368470.758452,429.386,0.120
1757368470.760521,431.455,0.120
1757368470.762591,433.524,0.120
1757368470.764658,435.592,0.120
1757368470.766728,437.662,0.120
1757368470.768797,439.731,0.120
1757368470.770867,441.800,0.120
1757368470.772934,443.868,0.120
1757368470.775004,445.938,0.120
1757368470.777072,448.006,0.120
1757368470.779142,450.075,0.120
1757368470.781209,452.142,0.120
1757368470.783278,454.212,0.120
1757368470.785348,456.281,0.120
1757368470.787419,458.352,0.120
1757368470.789488,460.422,0.120
1757368470.791558,462.492,0.120
1757368470.793629,464.562,0.120
1757368470.795698,466.632,0.120
1757368470.797768,468.702,0.120
1757368470.799838,470.772,0.120
1757368470.801907,472.841,0.120
1757368470.803978,474.911,0.120
1757368470.806047,476.981,0.120
1757368470.808115,479.048,0.120
1757368470.810184,481.117,0.120
1757368470.812253,483.186,0.120
1757368470.814322,485.256,0.120
1757368470.816389,487.323,0.120
1757368470.818459,489.392,0.120
1757368470.820528,491.462,0.120
1757368470.822598,493.531,0.120
1757368470.824666,495.600,0.120
1757368470.826735,497.669,0.120
1757368470.828804,499.737,0.120
1757368470.830878,501.812,0.120
1757368470.832948,503.881,0.120
1757368470.835017,505.951,0.120
1757368470.837087,508.020,0.120
1757368470.839157,510.091,0.120
1757368470.841226,512.159,0.120
1757368470.843295,514.229,0.120
1757368470.845364,516.297,0.120
1757368470.847437,518.370,0.120
1757368470.849507,520.441,0.120
1757368470.851576,522.509,0.120
1757368470.853646,524.579,0.120
1757368470.855716,526.649,0.120
1757368470.857785,528.719,0.120
1757368470.859856,530.790,0.120
1757368470.861925,532.859,0.120
1757368470.863994,534.928,0.120
1757368470.866064,536.997,0.120
1757368470.868131,539.065,0.100
1757368470.870201,541.135,0.100
1757368470.872270,543.204,0.100
1757368470.874339,545.273,0.100
1757368470.876407,547.340,0.100
1757368470.878477,549.410,0.100
1757368470.880545,551.478,0.100
1757368470.882614,553.547,0.100
1757368470.884682,555.615,0.100
1757368470.886751,557.684,0.100
1757368470.889122,560.055,0.100
1757368470.891202,562.135,0.100
1757368470.893274,564.208,0.100
1757368470.895358,566.291,0.100
1757368470.897432,568.365,0.100
1757368470.899504,570.438,0.100
1757368470.901574,572.508,0.100
1757368470.903646,574.579,0.100
1757368470.905715,576.648,0.100
1757368470.907784,578.718,0.100
1757368470.909853,580.787,0.100
1757368470.911922,582.856,0.100
1757368470.913991,584.925,0.100
1757368470.916029,586.963,0.100
1757368470.918099,589.033,0.100
1757368470.920168,591.102,0.100
1757368470.922236,593.170,0.100
1757368470.924303,595.237,0.100
1757368470.926372,597.305,0.100
1757368470.928439,599.373,0.100
1757368470.930510,601.443,0.100
1757368470.932580,603.513,0.100
1757368470.934651,605.584,0.100
1757368470.936719,607.652,0.100
1757368470.938788,609.722,0.100
1757368470.940857,611.791,0.100
1757368470.942927,613.860,0.100
1757368470.944996,615.929,0.100
1757368470.947065,617.999,0.100
1757368470.949135,620.068,0.100
1757368470.951204,622.138,0.100
1757368470.953275,624.209,0.100
1757368470.955345,626.279,0.100
1757368470.957415,628.349,0.100
1757368470.959484,630.417,0.100
1757368470.961552,632.486,0.100
1757368470.963625,634.558,0.100
1757368470.965695,636.629,0.100
1757368470.967763,638.697,0.100
1757368470.969832,640.766,0.100
1757368470.971901,642.834,0.100
1757368470.973971,644.905,0.100
1757368470.976027,646.961,0.100
1757368470.978107,649.041,0.100
1757368470.980180,651.114,0.100
1757368470.982250,653.183,0.100
1757368470.984317,655.250,0.100
1757368470.986387,657.321,0.100
1757368470.988456,659.390,0.100
1757368470.990526,661.460,0.100
1757368470.992595,663.529,0.100
1757368470.994679,665.613,0.100
1757368470.996762,667.695,0.100
1757368470.998835,669.768,0.100
1757368471.000904,671.837,0.100
1757368471.002974,673.908,0.100
1757368471.005043,675.977,0.100
1757368471.007115,678.048,0.100
1757368471.009184,680.117,0.100
1757368471.011254,682.187,0.100
1757368471.013323,684.257,0.100
1757368471.015393,686.327,0.100
1757368471.017464,688.397,0.100
1757368471.019534,690.468,0.100
1757368471.021604,692.538,0.100
1757368471.023673,694.607,0.100
1757368471.025743,696.676,0.100
1757368471.027812,698.745,0.100
1757368471.029881,700.814,0.100
1757368471.031951,702.884,0.100
1757368471.034021,704.955,0.100
1757368471.036088,707.022,0.100
1757368471.038159,709.092,0.100
1757368471.040228,711.161,0.100
1757368471.042297,713.231,0.100
1757368471.044364,715.298,0.100
1757368471.046434,717.368,0.100
1757368471.048504,719.438,0.100
1757368471.050574,721.507,0.100
1757368471.052640,723.574,0.100
1757368471.054709,725.642,0.100
1757368471.056777,727.710,0.100
1757368471.058846,729.779,0.100
1757368471.060915,731.849,0.100
1757368471.062984,733.918,0.100
1757368471.065053,735.986,0.100
1757368471.067123,738.056,0.100
1757368471.069191,740.124,0.100
1757368471.071260,742.194,0.100
1757368471.073329,744.263,0.100
1757368471.075398,746.332,0.100
1757368471.077471,748.404,0.100
1757368471.079540,750.474,0.100
1757368471.081610,752.543,0.100
1757368471.083679,754.613,0.100
1757368471.085748,756.681,0.100
1757368471.087817,758.751,0.100
1757368471.089886,760.819,0.100
1757368471.091956,762.890,0.100
1757368471.094025,764.958,0.100
1757368471.096093,767.026,0.100
1757368471.098163,769.096,0.100
1757368471.100232,771.166,0.100
1757368471.102302,773.235,0.100
1757368471.104369,775.302,0.100
1757368471.106438,777.371,0.100
1757368471.108507,779.440,0.080
1757368471.110576,781.509,0.080
1757368471.112642,783.575,0.080
1757368471.114711,785.645,0.080
1757368471.116780,787.714,0.080
1757368471.118849,789.783,0.080
1757368471.120917,791.851,0.080
1757368471.122987,793.921,0.080
1757368471.125056,795.989,0.080
1757368471.127125,798.059,0.080
1757368471.129194,800.127,0.080
1757368471.131263,802.197,0.080
1757368471.133334,804.267,0.080
1757368471.135403,806.337,0.080
1757368471.137472,808.405,0.080
1757368471.139541,810.474,0.080
1757368471.141610,812.544,0.080
1757368471.143679,814.613,0.080
1757368471.145748,816.681,0.080
1757368471.147817,818.751,0.080
1757368471.149887,820.820,0.080
1757368471.151956,822.890,0.080
1757368471.154026,824.960,0.080
1757368471.156093,827.027,0.080
1757368471.158165,829.098,0.080
1757368471.160231,831.165,0.080
1757368471.162304,833.238,0.080
1757368471.164371,835.304,0.080
1757368471.166440,837.374,0.080
1757368471.168508,839.442,0.080
1757368471.170579,841.512,0.080
1757368471.172648,843.582,0.080
1757368471.174717,845.651,0.080
1757368471.176786,847.720,0.080
1757368471.178854,849.788,0.080
1757368471.180923,851.857,0.080
1757368471.182993,853.926,0.080
1757368471.185061,855.994,0.080
1757368471.187130,858.063,0.080
1757368471.189198,860.131,0.080
1757368471.191268,862.201,0.080
1757368471.193347,864.280,0.080
1757368471.195423,866.357,0.080
1757368471.197489,868.423,0.080
1757368471.199548,870.481,0.080
1757368471.201604,872.537,0.080
1757368471.203662,874.595,0.080
1757368471.205719,876.652,0.080
1757368471.207779,878.712,0.080
1757368471.209838,880.772,0.080
1757368471.211900,882.834,0.080
1757368471.213961,884.894,0.080
1757368471.216008,886.942,0.080
1757368471.218067,889.001,0.080
1757368471.220127,891.060,0.080
1757368471.222185,893.119,0.080
1757368471.224245,895.179,0.080
1757368471.226305,897.239,0.080
1757368471.228365,899.299,0.080
1757368471.230426,901.359,0.080
1757368471.232485,903.418,0.100
1757368471.234544,905.477,0.100
1757368471.236605,907.538,0.100
1757368471.238670,909.604,0.100
1757368471.240734,911.668,0.100
1757368471.242802,913.736,0.100
1757368471.244866,915.800,0.100
1757368471.246933,917.866,0.100
1757368471.248998,919.931,0.100
1757368471.251065,921.998,0.100
1757368471.253136,924.070,0.100
1757368471.255203,926.136,0.100
1757368471.257275,928.208,0.100
1757368471.259343,930.277,0.100
1757368471.261414,932.348,0.100
1757368471.263494,934.427,0.100
1757368471.265562,936.496,0.100
1757368471.267664,938.598,0.100
1757368471.269725,940.658,0.100
1757368471.271787,942.721,0.100
1757368471.273844,944.778,0.100
1757368471.275903,946.836,0.100
1757368471.277967,948.901,0.100
1757368471.280035,950.969,0.100
1757368471.282107,953.041,0.100
1757368471.284176,955.110,0.100
1757368471.286246,957.179,0.100
1757368471.288312,959.246,0.100
1757368471.290382,961.315,0.100
1757368471.292449,963.382,0.100
1757368471.294518,965.451,0.100
1757368471.296581,967.515,0.100
1757368471.298643,969.577,0.100
1757368471.300702,971.635,0.100
1757368471.302761,973.694,0.100
1757368471.304818,975.751,0.100
1757368471.306876,977.809,0.100
1757368471.308937,979.870,0.100
1757368471.311004,981.937,0.100
1757368471.313065,983.999,0.100
1757368471.315156,986.089,0.100
1757368471.317232,988.165,0.100
1757368471.319291,990.224,0.100
1757368471.321349,992.282,0.100
1757368471.323407,994.340,0.100
1757368471.325465,996.398,0.100
1757368471.327522,998.456,0.100
1757368471.329580,1000.513,0.100
1757368471.331637,1002.570,0.100
1757368471.333694,1004.627,0.100
1757368471.335751,1006.685,0.100
1757368471.337809,1008.742,0.100
1757368471.339866,1010.799,0.100
1757368471.341924,1012.857,0.100
1757368471.343982,1014.915,0.100
1757368471.346043,1016.977,0.100
1757368471.348103,1019.036,0.100
1757368471.350163,1021.096,0.100
1757368471.352220,1023.154,0.100
1757368471.354277,1025.211,0.100
1757368471.356335,1027.269,0.100
1757368471.358393,1029.327,0.100
1757368471.360452,1031.385,0.100
1757368471.362510,1033.443,0.100
1757368471.364569,1035.503,0.100
1757368471.366627,1037.561,0.100
1757368471.368687,1039.621,0.100
1757368471.370752,1041.685,0.100
1757368471.372818,1043.751,0.100
1757368471.374880,1045.813,0.100
1757368471.376941,1047.874,0.100
1757368471.379003,1049.937,0.100
1757368471.381068,1052.002,0.100
