ts_sec,rel_ms,current_mA
1757011750.149147,0.551,0.100
1757011750.151205,2.608,0.100
1757011750.153268,4.672,0.100
1757011750.155329,6.732,0.100
1757011750.157391,8.794,0.100
1757011750.159452,10.855,0.100
1757011750.161514,12.917,0.100
1757011750.163580,14.984,0.100
1757011750.165646,17.049,0.100
1757011750.167709,19.113,0.100
1757011750.169780,21.183,0.100
1757011750.171844,23.247,0.100
1757011750.173907,25.311,0.100
1757011750.175970,27.373,0.100
1757011750.178033,29.437,0.100
1757011750.180098,31.501,0.100
1757011750.182164,33.567,0.100
1757011750.184229,35.633,0.100
1757011750.186294,37.698,0.100
1757011750.188360,39.763,0.100
1757011750.190427,41.831,0.100
1757011750.192494,43.897,0.100
1757011750.194567,45.971,0.100
1757011750.196640,48.043,0.100
1757011750.198709,50.112,0.100
1757011750.200777,52.181,0.100
1757011750.202847,54.250,0.100
1757011750.204914,56.318,0.100
1757011750.206984,58.387,0.100
1757011750.209053,60.456,0.100
1757011750.211123,62.526,0.100
1757011750.213199,64.603,0.100
1757011750.215272,66.675,0.100
1757011750.217340,68.744,0.100
1757011750.219411,70.814,0.100
1757011750.221480,72.884,0.100
1757011750.223549,74.952,0.100
1757011750.225618,77.021,0.100
1757011750.227687,79.091,0.100
1757011750.229756,81.160,0.100
1757011750.231826,83.229,0.100
1757011750.233895,85.298,0.100
1757011750.235963,87.367,0.100
1757011750.238033,89.436,0.100
1757011750.240100,91.504,0.100
1757011750.242170,93.574,0.100
1757011750.244239,95.642,0.100
1757011750.246308,97.712,0.100
1757011750.248376,99.780,0.100
1757011750.250446,101.850,0.100
1757011750.252514,103.918,0.100
1757011750.254584,105.987,0.100
1757011750.256651,108.054,0.100
1757011750.258720,110.124,0.100
1757011750.260789,112.192,0.100
1757011750.262857,114.261,0.100
1757011750.264927,116.330,0.100
1757011750.266996,118.400,0.100
1757011750.269065,120.469,0.100
1757011750.271134,122.538,0.100
1757011750.273203,124.607,0.100
1757011750.275272,126.676,0.100
1757011750.277345,128.749,0.100
1757011750.279420,130.824,0.100
1757011750.281490,132.893,0.100
1757011750.283559,134.963,0.100
1757011750.285630,137.034,0.100
1757011750.287700,139.104,0.100
1757011750.289770,141.173,0.100
1757011750.291839,143.242,0.100
1757011750.293908,145.312,0.100
1757011750.295978,147.381,0.100
1757011750.298047,149.450,0.100
1757011750.300116,151.519,0.100
1757011750.302184,153.587,0.100
1757011750.304251,155.654,0.100
1757011750.306320,157.724,0.100
1757011750.308387,159.791,0.100
1757011750.310457,161.861,0.100
1757011750.312527,163.931,0.100
1757011750.314597,166.001,0.100
1757011750.316665,168.068,0.100
1757011750.318736,170.139,0.100
1757011750.320806,172.210,0.100
1757011750.322875,174.278,0.100
1757011750.324944,176.348,0.100
1757011750.327014,178.417,0.100
1757011750.329084,180.487,0.100
1757011750.331152,182.556,0.100
1757011750.333220,184.623,0.100
1757011750.335289,186.692,0.100
1757011750.337358,188.762,0.100
1757011750.339427,190.831,0.100
1757011750.341496,192.899,0.100
1757011750.343566,194.969,0.100
1757011750.345638,197.042,0.100
1757011750.347707,199.110,0.100
1757011750.349776,201.180,0.100
1757011750.351847,203.250,0.100
1757011750.353916,205.319,0.100
1757011750.355986,207.389,0.100
1757011750.358055,209.458,0.100
1757011750.360122,211.526,0.100
1757011750.362191,213.595,0.100
1757011750.364259,215.662,0.100
1757011750.366328,217.731,0.080
1757011750.368395,219.798,0.080
1757011750.370463,221.867,0.080
1757011750.372532,223.936,0.080
1757011750.374602,226.006,0.080
1757011750.376673,228.076,0.080
1757011750.378742,230.145,0.080
1757011750.380810,232.214,0.080
1757011750.382879,234.283,0.080
1757011750.384949,236.352,0.080
1757011750.387018,238.421,0.080
1757011750.389086,240.490,0.080
1757011750.391156,242.560,0.080
1757011750.393225,244.628,0.080
1757011750.395294,246.698,0.080
1757011750.397363,248.766,0.080
1757011750.399432,250.836,0.080
1757011750.401502,252.905,0.080
1757011750.403571,254.974,0.080
1757011750.405640,257.043,0.080
1757011750.407709,259.113,0.080
1757011750.409778,261.182,0.080
1757011750.411847,263.251,0.080
1757011750.413917,265.320,0.080
1757011750.415987,267.390,0.080
1757011750.418057,269.460,0.080
1757011750.420125,271.528,0.080
1757011750.422195,273.598,0.080
1757011750.424265,275.668,0.080
1757011750.426334,277.738,0.080
1757011750.428401,279.805,0.080
1757011750.430471,281.875,0.080
1757011750.432540,283.944,0.080
1757011750.434609,286.013,0.080
1757011750.436677,288.080,0.080
1757011750.438746,290.150,0.080
1757011750.440816,292.219,0.080
1757011750.442885,294.289,0.080
1757011750.444953,296.356,0.080
1757011750.447021,298.425,0.080
1757011750.449090,300.494,0.080
1757011750.451160,302.563,0.080
1757011750.453228,304.631,0.080
1757011750.455298,306.701,0.080
1757011750.457366,308.770,0.080
1757011750.459437,310.840,0.080
1757011750.461506,312.910,0.080
1757011750.463576,314.980,0.080
1757011750.465645,317.049,0.080
1757011750.467715,319.118,0.080
1757011750.469786,321.189,0.080
1757011750.471855,323.258,0.080
1757011750.473922,325.326,0.080
1757011750.476015,327.419,0.080
1757011750.478085,329.488,0.080
1757011750.480150,331.554,0.080
1757011750.482220,333.623,0.080
1757011750.484287,335.690,0.080
1757011750.486356,337.759,0.080
1757011750.488423,339.827,0.080
1757011750.490492,341.896,0.080
1757011750.492561,343.964,0.080
1757011750.494630,346.034,0.080
1757011750.496701,348.104,0.080
1757011750.498769,350.173,0.080
1757011750.500841,352.244,0.080
1757011750.502926,354.329,0.080
1757011750.504995,356.399,0.080
1757011750.507065,358.468,0.080
1757011750.509134,360.537,0.080
1757011750.511202,362.606,0.080
1757011750.513271,364.674,0.080
1757011750.515339,366.743,0.080
1757011750.517408,368.811,0.080
1757011750.519477,370.880,0.080
1757011750.521546,372.949,0.080
1757011750.523617,375.020,0.080
1757011750.525686,377.090,0.080
1757011750.527755,379.158,0.080
1757011750.529824,381.227,0.080
1757011750.531893,383.297,0.080
1757011750.533962,385.365,0.080
1757011750.536023,387.427,0.080
1757011750.538093,389.497,0.080
1757011750.540164,391.567,0.080
1757011750.542235,393.639,0.080
1757011750.544304,395.707,0.080
1757011750.546371,397.775,0.080
1757011750.548438,399.842,0.080
1757011750.550507,401.911,0.080
1757011750.552576,403.980,0.080
1757011750.554645,406.049,0.080
1757011750.556711,408.115,0.080
1757011750.558780,410.184,0.080
1757011750.560847,412.250,0.080
1757011750.562915,414.318,0.080
1757011750.564994,416.397,0.080
1757011750.567065,418.468,0.080
1757011750.569146,420.550,0.080
